QuestionID,ChapterID,SubtopicID,QuestionNo,Question,OptionA,OptionB,OptionC,OptionD,Year,Answer,Explanation,HasImage
76,2,5,26,"A car moving with a speed of $40 \mathrm{~km} / \mathrm{h}$ can be stopped by applying brakes at least after $2 \mathrm{~m}$. If the same car is moving with a speed of $80 \mathrm{~km} / \mathrm{h}$, what is the minimum stopping distance? ",$8 \mathrm{~m}$,$6 \mathrm{~m}$,$4 \mathrm{~m}$,$2 \mathrm{~m}$,1998-01-01,a,"26. (a) $v^{2}-u^{2}=2 a s$

$$
\begin{aligned}
\Rightarrow a & =\frac{v^{2}-u^{2}}{2 s} \\
& =-\frac{u_{1}^{2}}{2 s},
\end{aligned}
$$

For same retarding force $s \propto u^{2}$

$$
\because \frac{s_{2}}{s_{1}}=\frac{u_{2}^{2}}{u_{1}^{2}} \Rightarrow \frac{s_{2}}{s_{1}}=\left(\frac{80}{40}\right)^{2}=4
$$

$\therefore s_{2}=4 s_{1}=8 \mathrm{~m}$

If $F$ is retarding force and $s$ the stopping

distance, then $\frac{1}{2} m v^{2}=F S$

For same retarding force, $s \alpha v^{2}$

$$
\begin{aligned}
& \therefore \quad \frac{s_{2}}{s_{1}}=\left(\frac{v_{2}}{v_{1}}\right)^{2}=\left(\frac{80 \mathrm{~km} / \mathrm{h}}{40 \mathrm{~km} / \mathrm{h}}\right)^{2}=4 \\
& \therefore \quad s_{2}=4 s_{1}=4 \times 2=8 \mathrm{~m}
\end{aligned}
$$",False
87,2,7,37,"A stone falls freely under gravity. It covers distances $h_1, h_2$ and $h_3$ in the first 5 seconds, the next 5 seconds and the next 5 seconds respectively. The relation between $h_1, h_2$ and $h_3$ is",$h_1=\frac{\mathrm{h}_2}{3}=\frac{\mathrm{h}_3}{5}$,$h_2=3 h_1$ and $h_3=3 h_2$,$h_1=h_2=h_3$,$h_1=2 h_2=3 h_3$,2013-01-01,a,"37.
(a) $\because \quad h=\frac{1}{2} g t^{2}$
$\therefore \quad h_{1}=\frac{1}{2} g(5)^{2}=125$

$$
\begin{aligned}
& h_{1}+h_{2}=\frac{1}{2} g(10)^{2}=500 \\
& \Rightarrow h_{2}=375 \\
& h_{1}+h_{2}+h_{3}=\frac{1}{2} g(15)^{2}=1125 \\
& \Rightarrow h_{3}=625 \\
& h_{2}=3 h_{1}, h_{3}=5 h_{1} \\
& \text { or } \quad h_{1}=\frac{h_{2}}{3}=\frac{h_{3}}{5}
\end{aligned}
$$

The distance covered in time $t, 2 t, 3 t$, etc. will be in the ratio of $1^{2}: 2^{2}: 3^{2}$ i.e., square of integers i.e., $h$ $\propto t^{2}$.",False
109,3,8,8,"The vectors $\vec{A}$ and $\vec{B}$ are such that $|\vec{A}+\vec{B}|=|\vec{A}-\vec{B}|$
The angle between the two vectors is",$60^{\circ}$, $75^{\circ}$, $45^{\circ}$,$90^{\circ}$,2006-01-01,d,"(d) $|\vec{A}+\vec{B}|^2=|\vec{A}-\vec{B}|^2$
$=|\vec{A}|^2+|\vec{B}|^2+2 \vec{A} \cdot \vec{B}=A^2+B^2+2 A B \cos \theta$
$=|\vec{A}-\vec{B}|^2=|\vec{A}|^2+|\vec{B}|^2-2 \vec{A} \cdot \vec{B}$
$=A^2+B^2-2 A B \cos \theta$
So, $A^2+B^2+2 A B \cos \theta$
$=A^2+B^2-2 A B \cos \theta$
$4 A B \cos \theta=0 \Rightarrow \cos \theta=0$
$\theta=90^{\circ}$
So, angle between $A \& B$ is $90^{\circ}$.",False
116,3,8,15,What is the linear velocity if angular velocity vector $\vec{\omega}=3 \hat{i}-4 \hat{j}+\hat{k}$ and position vector $\vec{r}=5 \hat{i}-6 \hat{j}+6 \hat{k}$,$6 \hat{i}+2 \hat{j}-3 \hat{k}$,$-18 \hat{i}-13 \hat{j}+2 \hat{k}$,$18 \hat{i}+13 \hat{j}-2 \hat{k}$,$6 \hat{i}-2 \hat{j}+8 \hat{k}$,1999-01-01,b,"(b) As we know that
$$
\begin{aligned}
\vec{v} & =\vec{\omega} \times \vec{r}=(3 \hat{i}-4 \hat{j}+\hat{k}) \times(5 \hat{i}-6 \hat{j}+6 \hat{k}) \\
& =-18 \hat{i}-13 \hat{j}+2 \hat{k}
\end{aligned}
$$",False
130,3,9,29, Two particles $A$ and $B$ are connected by a rigid $\operatorname{rod} \mathrm{AB}$. The rod slides along perpendicular rails as shown here. The velocity of $A$ to the left is $10 \mathrm{~m} / \mathrm{s}$. What is the velocity of B when angle $\alpha=60^{\circ}$ ?,$5.8 \mathrm{~m} / \mathrm{s}$,$9.8 \mathrm{~m} / \mathrm{s}$,$10 \mathrm{~m} / \mathrm{s}$,$17.3 \mathrm{~m} / \mathrm{s}$,1998-01-01,a,"(a) Given, $v_A=10 \mathrm{~m} / \mathrm{sec}$ $\alpha=60^{\circ}$
let length of the rod $=\mathrm{L}$
From figure,
$\Rightarrow x^2+y^2=\mathrm{L}$
differentiation with respect to time ' $t$ '
$\Rightarrow 2 x \frac{d x}{d t}+2 y \frac{d y}{d t}=0$
$\Rightarrow x \frac{d x}{d t}+y \frac{d y}{d t}=0$
where, $\frac{d x}{d t}=v_A$ and $\frac{d y}{d t}=v_B$
So, $x v_A+y v_B=0$
$$
v_B=\frac{-x}{y} v_A
$$
where $\frac{x}{y}=\cot \alpha$
So, $v_B=-v_A \cot \alpha$
$$
v_B=10 \cot 60^{\circ}
$$
$$
v_B=\frac{-10}{\sqrt{3}}=-5.773 \simeq 5.8 \mathrm{~m} / \mathrm{sec}
$$",True
194,4,13,30,"A block of mass $m$ is placed on a smooth wedge of inclination $\theta$. The whole system is accelerated horizontally so that the block does not slip on the wedge. The force exerted by the wedge on the block ( $\mathrm{g}$ is acceleration due to gravity) will be
"," $\mathrm{mg} / \cos \theta$

",$\mathrm{mg} \cos \theta$,$m g \sin \theta$,$\mathrm{mg}$,2004-01-01,a,"According to the condition,$$
\mathrm{N}=m a \sin \theta+m g \cos \theta
$$
Also, $m g \sin \theta=m a \cos \theta$
From (1) \& (2), $a=g \tan \theta$
$$
\begin{aligned}
\therefore N & =m g \frac{\sin ^2 \theta}{\cos \theta}+m g \cos \theta . \\
& =\frac{m g}{\cos \theta}\left(\sin ^2 \theta+\cos ^2 \theta\right)=\frac{m g}{\cos \theta}
\end{aligned}
$$",True
236,5,16,7,. A vertical spring with force constant $\mathrm{k}$ is fixed on a table. A ball of mass $\mathrm{m}$ at a height $\mathrm{h}$ above the free upper end of the spring falls vertically on the spring so that the spring is compressed by a distance $\mathrm{d}$. The net work done in the process is,) $m g(h+d)-\frac{1}{2} k d^2$,$m g(h-d)-\frac{1}{2} k d^2$,$\mathrm{mg}(\mathrm{h}-\mathrm{d})+\frac{1}{2} \mathrm{kd}^2$,$\mathrm{mg}(\mathrm{h}+\mathrm{d})+\frac{1}{2} \mathrm{kd}^2$,2007-01-01,a,"7. (a)
$W=$ Potential energy stored in the spring + Loss of potential energy of mass
$W=m g(h+d)-\frac{1}{2} k d^2$
Gravitational potential energy of ball gets converted into elastic potential energy of the spring.
$m g(h+d)=\frac{1}{2} k d^2$
Net work done $=\operatorname{mg}(h+d)-\frac{1}{2} k d^2=0$",True
310,6,20,9,The centre of mass of a system of particles does not depend upon ,masses of the particles,forces acting on the particles,position of the particles,relative distances between the particles,1997-01-01,b,"(b) Centre of mass of system depends upon position and masses of particle. Also, it depends upon relative distance between particles.",False
413,7,27,20, The acceleration due to gravity on the planet $\mathrm{A}$ is 9 times the acceleration due to gravity on planet $B$. A man jumps to a height of $2 \mathrm{~m}$ on the surface of $A$. What is the height of jump by the same person on the planet $\mathrm{B}$ ?,$\frac{2}{3} \mathrm{~m}$,$\frac{2}{9} \mathrm{~m}$,$18 \mathrm{~m}$,$6 \mathrm{~m}$,2003-01-01,c,"(c) Applying conservation of total mechanical energy principle 98
PHYSICS
$\Rightarrow h_B=\left(\frac{g_A}{g_B}\right) h_A=9 \times 2=18 \mathrm{~m}$
The velocity of the mass while reaching the surface of both the planets will be same.
$$
\begin{aligned}
& \Rightarrow \sqrt{2 g^{\prime} h^{\prime}}=\sqrt{2 g h} \\
& \Rightarrow \sqrt{2 g h^{\prime}}=\sqrt{2 \times 9 g \times 2} \\
& \Rightarrow 2 h^{\prime}=36 \Rightarrow h^{\prime}=18 \mathrm{~m}
\end{aligned}
$$
$$
\begin{aligned}
& \frac{1}{2} m v^2=m g_A h_A=m g_B h_B \\
& \Rightarrow g_A h_A=g_B h_B
\end{aligned}
$$",False
484,9,35,18,The wetability of a surface by a liquid depends primarily on,surface tension,density,angle of contact between the surface and the liquid,viscosity,2013-01-01,c, Wetability of a surface by a liquid primarily depends on angle of contact between the surface and liquid.If angle of contact is acute liquids wet the solid and vice-versa.,False
533,10,38,48,Certain quantity of water cools from $70^{\circ} \mathrm{C}$ to $60^{\circ} \mathrm{C}$ in the first 5 minutes and to $54^{\circ} \mathrm{C}$ in the next 5 minutes. The temperature of the surroundings is:,"(a) $45^{\circ} \mathrm{C}$
","(b) $20^{\circ} \mathrm{C}$
","(c) $42^{\circ} \mathrm{C}$
",(d) $10^{\circ} \mathrm{C}$,2014-01-01,a,"Let the temperature of surroundings be $\theta_0$ By Newton's law of cooling
$$
\begin{aligned}
& \frac{\theta_1-\theta_2}{\mathrm{t}}=\mathrm{k}\left[\frac{\theta_1+\theta_2}{2}-\theta_0\right] \\
\Rightarrow & \frac{70-60}{5}=\mathrm{k}\left[\frac{70+60}{2}-\theta_0\right] \\
\Rightarrow & 2=\mathrm{k}\left[65-\theta_0\right]
\end{aligned}
$$
Similarly, $\frac{60-54}{5}=\mathrm{k}\left[\frac{60+54}{2}-\theta_0\right]$
$\Rightarrow \quad \frac{6}{5}=\mathrm{k}\left[57-\theta_0\right]$
By dividing (i) by (ii) we have
$$
\frac{10}{6}=\frac{65-\theta_0}{57-\theta_0} \Rightarrow \theta_0=45^{\circ}
$$",False
562,11,40,27,". If $\mathrm{Q}, \mathrm{E}$ and $\mathrm{W}$ denote respectively the heat added, change in internal energy and the work done in a closed cyclic process, then:",$\mathrm{W}=0$,$\mathrm{Q}=\mathrm{W}=0$,$\mathrm{E}=0$,$\mathrm{Q}=0$,2008-01-01,c,"27. (c) In a cyclic process, the initial state coincides with the final state. Hence, the change in internal energy is zero, as it depends only on the initial and final states.
In case of cyclic process, $\mathrm{u}_f=\mathrm{u}_i \therefore \Delta \mathrm{u}=\mathrm{u}_f-\mathrm{u}_i=0$ And also $\Delta \mathrm{u} \propto \Delta T \therefore \Delta T=0$",False
596,12,42,8,"The equation of state, corresponding to $8 \mathrm{~g}$ of $\mathrm{O}_2$ is",$P V=8 R T$, $P V=R T / 4$, $P V=R T$, $P V=R T / 2$,1994-01-01,b,"$8 \mathrm{~g}$ of oxygen is equivalent to (1/4) mole.
So, $P V=\frac{1}{4} R T$",False
597,12,42,9,"According to kinetic theory of gases, at absolute zero temperature",water freezes,liquid helium freezes,molecular motion stops,liquid hydrogen freezes,1990-01-01,c,(c),False
772,14,52,76,"A car is moving towards a high cliff. The car driver sounds a horn of frequency $f$. The reflected sound heard by the driver has frequency $2 f$. If $v$ be the velocity of sound, then the velocity of the car, in the same velocity units, will be","$v / 2$
",$v / \sqrt{ } 2$,$v / 3$,$v / 4$,2004-01-01,c,"Let $f^{\prime}$ be the frequency of sound heard by cliff.
$\therefore f=\frac{v f}{v-v_c}$
Now, for the reflected wave, cliff acts as a source,
$\therefore 2 f=\frac{f^{\prime}\left(\mathrm{v}+\mathrm{v}_{\mathrm{c}}\right)}{v}$
$2 f=\frac{\left(v+v_{\mathrm{c}}\right) f}{v-v_c}$ $\Rightarrow 2 v-2 v_c=v+v_{\mathrm{c}}$ or $\frac{v}{3}=v_c$",False
855,16,58,33," A series combination of $n_1$ capacitors, each of value $C_1$, is charged by a source of potential difference $4 \mathrm{~V}$. When another parallel combination of $n_2$ capacitors, each of value $C_2$, is charged by a source of potential difference $V$, it has the same (total) energy stored in it, as the first combination has. The value of $C_2$, in terms of $C_1$, is then", $\frac{2 C_1}{n_1 n_2}$,$16 \frac{n_2}{n_1} C_1$,$2 \frac{n_2}{n_1} C_1$,$\frac{16 C_1}{n_1 n_2}$,2010-01-01,d,"In series, $\mathrm{C}_{\mathrm{eff}}=\frac{C_1}{n_1}$
$\therefore \quad$ Energy stored,
$E_S=\frac{1}{2} C_{e f f} V_S^2=\frac{1}{2} \frac{C_1}{n_1} 16 V^2$
$=8 V^2 \frac{C_1}{n_1}$
In parallel, $\mathrm{C}_{\mathrm{eff}}=\mathrm{n}_2 \mathrm{C}_2$
$\therefore \quad$ Energy stored, $\mathrm{E}_{\mathrm{p}}=\frac{1}{2} \mathrm{n}_2 \mathrm{C}_2 \mathrm{~V}^2$
According to question $\mathrm{E}_{\mathrm{s}}=\mathrm{E}_{\mathrm{p}}$
$\therefore \quad \frac{8 V^2 C_1}{n_1}=\frac{1}{2} n_2 C_2 V^2$
$\Rightarrow C_2=\frac{16 C_1}{n_1 n_2}$",False
